Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,265.28621,-20.038105,-90.0,top
C2,100n,C_0603_1608Metric,206.145372,-43.288105,-90.0,top
C3,4.7u,C_0402_1005Metric,233.312092,-14.435355,-90.0,top
C4,1u,C_0402_1005Metric,247.682299,-11.050054,0.0,top
C5,1u,C_0402_1005Metric,244.672299,-8.010054,-90.0,top
C6,100n,C_0402_1005Metric,225.663523,-4.729855,90.0,top
C7,100n,C_0402_1005Metric,234.444434,-14.444824,-90.0,top
C8,100n,C_0402_1005Metric,236.52804,-5.411212,90.0,top
C9,100n,C_0402_1005Metric,226.705326,-4.729855,90.0,top
C10,100n,C_0402_1005Metric,224.175233,-10.363554,90.0,top
C11,1u,C_0402_1005Metric,223.13343,-10.363554,90.0,top
C12,100n,C_0402_1005Metric,93.349192,-19.199023,180.0,top
C13,100n,R_0603_1608Metric,212.682872,-6.263105,0.0,top
C14,220p,C_0603_1608Metric,209.120372,-12.166212,-90.0,top
C15,100n,C_0402_1005Metric,193.400502,-19.199023,180.0,top
D1,PRTR5V0U2X,SOT-143,251.332299,-12.995898,90.0,top
F1,500mA,Fuse_1206_3216Metric,251.782299,-8.681855,0.0,top
J1,JST,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,336.35163,-9.078707,90.0,top
J2,JST,JST-SR-4,264.381523,-4.316203,90.0,top
L1,"220 @ 100MHz, 2A",L_0603_1608Metric,204.395372,-43.300605,-90.0,top
R1,330,R_0603_1608Metric,263.645372,-20.088105,-90.0,top
R2,5.1k,R_0402_1005Metric,256.895372,-14.763105,0.0,top
R3,5.1k,R_0402_1005Metric,257.17559,-11.580054,180.0,top
R4,100,R_0402_1005Metric,236.524965,-16.082136,-90.0,top
R5,100,R_0402_1005Metric,241.885884,-16.082136,-90.0,top
R6,100k,R_0402_1005Metric,238.845791,-8.834387,0.0,top
R7,100,R_0402_1005Metric,237.715597,-16.082136,90.0,top
R8,100,R_0402_1005Metric,238.7574,-16.082136,90.0,top
R9,100,R_0402_1005Metric,239.802278,-16.082136,-90.0,top
R10,100,R_0402_1005Metric,240.844081,-16.082136,90.0,top
R11,10k,R_0402_1005Metric,225.217036,-10.333554,90.0,top
R12,10k,R_0402_1005Metric,217.895372,-5.155078,180.0,top
R13,10k,R_0402_1005Metric,232.270289,-14.405355,90.0,top
R14,100k,R_0402_1005Metric,43.709169,-20.687308,0.0,top
R15,100k,R_0402_1005Metric,62.759281,-20.687308,0.0,top
R16,100k,R_0402_1005Metric,81.809393,-20.687308,0.0,top
R17,100k,R_0402_1005Metric,15.580488,-20.687308,0.0,top
R18,100k,R_0402_1005Metric,99.839505,-20.687308,180.0,top
R19,100k,R_0402_1005Metric,166.514897,-20.687308,180.0,top
R20,100k,R_0402_1005Metric,128.414673,-20.687308,180.0,top
R21,100k,R_0402_1005Metric,147.464785,-20.687308,180.0,top
R22,100k,R_0603_1608Metric,215.527479,-9.788105,90.0,top
R23,1k,R_0603_1608Metric,216.352479,-12.213105,0.0,top
R24,100k,R_0402_1005Metric,182.438959,-20.687308,180.0,top
R25,100k,R_0402_1005Metric,187.052658,-20.687308,180.0,top
R26,100k,R_0402_1005Metric,191.049238,-20.687308,0.0,top
R27,100k,R_0402_1005Metric,177.676431,-20.687308,180.0,top
R28,100k,R_0402_1005Metric,198.363662,-20.687308,180.0,top
R29,100k,R_0402_1005Metric,211.162956,-20.443049,180.0,top
R30,100k,R_0402_1005Metric,202.382045,-20.687308,180.0,top
R31,100k,R_0402_1005Metric,206.698086,-20.687308,180.0,top
R32,100,R_0402_1005Metric,10.395372,-2.613105,0.0,top
R33,100,R_0402_1005Metric,237.395372,-2.763105,180.0,top
U1,STM32F401CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,231.520289,-8.641212,0.0,top
U2,SN74AHCT1G125,SOT-23-5,9.52332,-9.829645,0.0,top
U3,ME6206A33M3G,SOT-23,247.202299,-8.470054,-90.0,top
U4,CD74HC4051PWR,TSSOP16,96.006647,-15.353469,90.0,top
U5,OPA340NA,SOT-23-5,212.370372,-8.963105,0.0,top
U6,CD74HC4051PWR,TSSOP16,196.057957,-15.353469,90.0,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,267.88621,-13.245898,90.0,top
Y1,8 MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,225.068207,-7.44229,0.0,top
